Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE
Decision Tree,0.9989831862870213,0.9053679875991828,215.39146048532191,3402.6344716353206,47.6375,2203.4024390243903
Random Forest,0.9868271865161502,0.9385552399551009,775.2594255650783,2741.81839557866,523.0227479166666,1721.1545487804876
AdaBoost,0.9545774625223872,0.9333597410624884,1439.6054420634262,2855.384499222365,1171.7956130459247,2091.658877369889
XGBoost,0.9989826986997271,0.9572307371187444,215.44309705892078,2287.5054755446713,50.54435424804687,1381.230802210366
