Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE
Linear Regression,0.9367218880010506,0.9166804677546212,1667.2168678050232,3187.026361142254,1220.6106795500577,1851.9363295425846
Ridge,0.9332835301207261,0.9030677091476699,1711.9137039563805,3437.529885115348,1224.927177207825,1952.4387110767934
Lasso,0.9366556626403828,0.9175238027014361,1668.0890743338803,3170.8562845058436,1217.0140932191716,1793.5215936550437
ElasticNet,0.9184054735040438,0.8908911034573034,1893.1971951890046,3647.055110243407,1343.1177955517583,2161.292220504142
KNN,0.8923989346472699,0.7972854235450215,2174.070508228747,4971.125567593368,1421.23625,2818.360975609756
SVR,-0.09420659733468284,-0.21835536228567487,6932.901079464844,12187.067980416203,4768.872371701633,7933.7016354992875
